Block	TrialType	Trial	Signal	Response	RT	SSD	keyDuration	keyDuration_startSyched	keyRT	feedback_ms	vert	feedback_synched
1	main	55	0	1	0.7511595729993132	0.6000000000000001	0.7521458850023919	0.7343429850006942	-0.017802900001697708	87.1207270021841	1.5100000000000016	100.87878200210976
1	main	56	0	1	0.783672966001177	0.5750000000000001	0.7921167029999197	0.768371048001427	-0.023745654998492682	87.1207270021841	1.1350000000000016	100.87878200210976
1	main	57	1	1	0.8341545180010144	1	0.8481232470003306	0.8311566680022224	-0.01696657899810816	31.15666800222239	5.0221061950085275	34.154518001014324
1	main	58	1	1	0.7992480769971735	1	0.820236591000139	0.7962853649987665	-0.02395122600137256	3.7146350012335905	4.498510329956625	0.75192300282656
1	main	59	0	1	0.7838411440025084	0.55	0.8040827740005625	0.7813339280000946	-0.022748846000467893	3.7146350012335905	0.7599999999999998	0.75192300282656
1	main	60	0	0	NaN	0.525	0.8040827740005625	0.7813339280000946	-0.022748846000467893	3.7146350012335905	0.3849999999999998	0.75192300282656
1	main	61	1	1	0.8334531949985831	1	0.8400366640016728	0.8292649190007069	-0.010771745000965893	29.264919000706826	5.011147869970737	33.453194998583015
1	main	62	0	0	NaN	0.55	0.8400366640016728	0.8292649190007069	-0.010771745000965893	29.264919000706826	0.7599999999999998	33.453194998583015
1	main	63	0	1	0.8666907719998562	0.5750000000000001	0.8841676749980252	0.8604719849972753	-0.02369569000074989	29.264919000706826	1.1350000000000016	33.453194998583015
1	main	64	1	1	0.8172772299985809	1	0.8401971949970175	0.816487509997387	-0.023709684999630554	16.48750999738691	4.768836924975185	17.277229998580836
1	main	65	0	0	NaN	0.55	0.8401971949970175	0.816487509997387	-0.023709684999630554	16.48750999738691	0.7599999999999998	17.277229998580836
1	main	66	1	1	0.8169896750005137	1	0.8322509770005126	0.8108089720008138	-0.021442004999698838	10.808972000813766	4.7646397000041905	16.98967500051363
1	main	67	1	1	0.732944788000168	1	0.7520864799989795	0.7314243129985698	-0.02066216700040968	68.57568700143024	3.5039483199923414	67.055211999832
1	main	68	1	1	0.9673002650015405	1	0.9842664460011292	0.9611473350014421	-0.02311911099968711	161.14733500144206	7.019286130014516	167.30026500154048
1	main	69	1	1	0.9172806730020966	1	0.9320850149997568	0.9149909400002798	-0.017094074999477016	114.99094000027976	6.26902601501366	117.28067300209655
