Signal,fixedStopTime,triggerTime,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,testBlocks.thisRepN,testBlocks.thisTrialN,testBlocks.thisN,testBlocks.thisIndex,block,trialType,trial,signal,response,ssd,rt,Count down,Trial by trial feedback,Method,Trial order,Step size (s),Lowest SSD (s),Highest SSD (s),Total bar height (in cm),Number of Test Blocks,Spaceship,Full Screen,Practice trials,
0,0.3,0.5,0,0,0,0,0,0,0,0,1,testBlocks,1,0,1,NaN,0.6046630529999675,True,True,staircase,random,0.025,0.05,0.775,15,3,False,True,False,
0,0.3,0.5,1,0,1,0,0,0,0,0,2,testBlocks,1,0,1,NaN,0.5302776699991227,True,True,staircase,random,0.025,0.05,0.775,15,3,False,True,False,
0,0.3,0.5,2,0,2,0,0,0,0,0,3,testBlocks,1,0,1,NaN,0.4910928640001657,True,True,staircase,random,0.025,0.05,0.775,15,3,False,True,False,
