Signal,fixedStopTime,triggerTime,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,practiceGoTrials.thisRepN,practiceGoTrials.thisTrialN,practiceGoTrials.thisN,practiceGoTrials.thisIndex,practiceMixedTrials.thisRepN,practiceMixedTrials.thisTrialN,practiceMixedTrials.thisN,practiceMixedTrials.thisIndex,testBlocks.thisRepN,testBlocks.thisTrialN,testBlocks.thisN,testBlocks.thisIndex,block,trialType,trial,signal,response,ssd,rt,Count down,Trial by trial feedback,Method,Trial order,Step size (s),Lowest SSD (s),Highest SSD (s),Total bar height (in cm),Number of Test Blocks,Spaceship,Full Screen,Practice trials,
0,0.3,0.5,0,0,0,0,0,0,0,0,,,,,,,,,1,practiceGoTrials,1,0,1,NaN,0.8022899050010892,True,False,staircase,random,0.025,0.05,0.775,15,3,False,True,True,
1,0.3,0.5,1,0,1,0,,,,,0,0,0,0,,,,,2,practiceMixedTrials,1,1,1,0.5,0.7224011210000754,True,False,staircase,random,0.025,0.05,0.775,15,3,False,True,True,
0,0.3,0.5,2,0,2,0,,,,,,,,,0,0,0,0,3,testBlocks,1,0,1,NaN,0.7050814930007618,True,False,staircase,random,0.025,0.05,0.775,15,3,False,True,True,
0,0.3,0.5,3,0,3,0,,,,,,,,,0,0,0,0,4,testBlocks,1,0,1,NaN,0.5654112869997334,True,False,staircase,random,0.025,0.05,0.775,15,3,False,True,True,
0,0.3,0.5,4,0,4,0,,,,,,,,,0,0,0,0,5,testBlocks,1,0,1,NaN,0.7394059550006205,True,False,staircase,random,0.025,0.05,0.775,15,3,False,True,True,
