Block	TrialType	Trial	Signal	Response	RT	SSD	keyDuration	keyDuration_startSyched	keyRT	feedback_ms	vert	feedback_synched
1	practice	1	1	1	0.7995802619989263	1	0.8122592719992099	0.7932056649988226	-0.019053607000387274	6.794335001177432	4.503498774991167	0.41973800107375503
1	practice	2	0	0	NaN	0.5	0.8122592719992099	0.7932056649988226	-0.019053607000387274	6.794335001177432	0.009999999999999787	0.41973800107375503
1	main	1	1	1	0.8174428530001023	1	0.8200955220017931	0.8062694079999346	-0.013826114001858514	6.269407999934584	4.771404369965021	17.44285300010229
1	main	2	1	1	0.8334790329972748	1	0.8402015079991543	0.8303029079979751	-0.009898600001179148	30.302907997975083	5.012004099987971	33.47903299727473
1	main	3	1	1	0.8163373700008378	1	0.8361776950005151	0.8137249999999767	-0.02245269500053837	13.724999999976673	4.754820880023326	16.337370000837794
1	main	4	1	1	0.8340803319988481	1	0.8400906330025464	0.8188606750009058	-0.021229958001640625	18.860675000905715	5.021001999973814	34.08033199884808
1	main	5	1	1	0.7679885600009584	1	0.7680965280014789	0.753085992000706	-0.015010536000772845	46.914007999294014	4.029469180020678	32.011439999041656
1	main	6	1	1	0.8339874599987525	1	0.8280858780017297	0.8192617519998748	-0.008824126001854893	19.26175199987479	5.019603879971109	33.98745999875241
1	main	7	1	1	0.8002806629992847	1	0.8120850699997391	0.7891537599971343	-0.022931310002604732	10.846240002865715	4.513938744965126	0.2806629992846421
1	main	8	0	0	NaN	0.5250000000000001	0.8120850699997391	0.7891537599971343	-0.022931310002604732	10.846240002865715	0.38500000000000156	0.2806629992846421
1	main	9	0	0	NaN	0.55	0.8120850699997391	0.7891537599971343	-0.022931310002604732	10.846240002865715	0.7599999999999998	0.2806629992846421
1	main	10	1	1	0.7505287550011417	1	0.7601463210012298	0.7499738850019639	-0.010172435999265872	50.02611499803611	3.767633155018993	49.47124499885835
1	main	11	0	0	NaN	0.5750000000000001	0.7601463210012298	0.7499738850019639	-0.010172435999265872	50.02611499803611	1.1350000000000016	49.47124499885835
1	main	12	1	1	0.8335980750016461	1	0.8442050529993139	0.8261479780012451	-0.018057074998068856	26.147978001245022	5.013765925011976	33.59807500164602
1	main	13	1	1	0.8848316309995425	1	0.9081528229980904	0.8838145509980677	-0.024338272000022698	83.81455099806767	5.782174240009917	84.8316309995425
1	main	14	1	1	0.8513346969994018	1	0.8480652420003025	0.8367830290007987	-0.011282212999503827	36.78302900079866	5.279820549983706	51.33469699940174
1	main	15	0	1	0.8015326470012951	0.6000000000000001	0.8002621369996632	0.7918059449984867	-0.008456192001176532	36.78302900079866	1.5100000000000016	51.33469699940174
1	main	16	1	1	0.8829553409996151	1	0.8880262940001558	0.8666436450002948	-0.021382648999860976	66.64364500029474	5.754199975033552	82.9553409996151
1	main	17	1	1	0.8012814300018363	1	0.8001968280004803	0.7845548770019377	-0.015641950998542598	15.445122998062333	4.5290177500262505	1.2814300018362257
1	main	18	1	1	0.8336869649974687	1	0.836066578001919	0.8238401759990666	-0.01222640200285241	23.840175999066517	5.015095569995319	33.686964997468706
1	main	19	1	1	0.7678145999998378	1	0.7880933869964792	0.7650247949968616	-0.023068591999617638	34.97520500313844	4.026995199963276	32.18540000016223
1	main	20	1	1	0.8499986749993695	1	0.8680479649992776	0.8437387649973971	-0.024309200001880527	43.73876499739704	5.259776874970848	49.9986749993695
