Block	TrialType	Trial	Signal	Response	RT	SSD	keyDuration	keyDuration_startSyched	keyRT	feedback_ms	vert	feedback_synched
1	practice	1	1	1	0.9333138159709051	1	0.9599831060040742	0.9217862959485501	-0.03819681005552411	121.78629594855006	6.5095973353506995	133.31381597090507
1	practice	2	0	0	NaN	0.5	0.9599831060040742	0.9217862959485501	-0.03819681005552411	121.78629594855006	0.009999999999999787	133.31381597090507
1	main	1	1	1	0.18229495908599347	1	0.2000306120608002	0.17541010107379407	-0.024620510987006128	624.5898989262059	-4.755676535316743	617.7050409140065
1	main	2	1	1	0.8672071059700102	1	0.8721115650841966	0.8536542210495099	-0.018457344034686685	53.6542210495099	5.5179570406815035	67.20710597001012
1	main	3	1	0	NaN	1	0.8721115650841966	0.8536542210495099	-0.018457344034686685	53.6542210495099	7.51	67.20710597001012
1	main	4	1	1	0.8171431720256805	1	0.8240480499807745	0.8144447760423645	-0.009603273938409984	14.444776042364493	4.767067046011798	17.1431720256805
1	main	5	0	0	NaN	0.5250000000000001	0.8240480499807745	0.8144447760423645	-0.009603273938409984	14.444776042364493	0.38500000000000156	17.1431720256805
1	main	6	1	1	0.9506105250911787	1	0.9599949399707839	0.9424767780583352	-0.017518161912448704	142.47677805833513	6.769054120630026	150.61052509117866
1	main	7	0	0	NaN	0.55	0.9599949399707839	0.9424767780583352	-0.017518161912448704	142.47677805833513	0.7599999999999998	150.61052509117866
1	main	8	1	1	0.8670257659396157	1	0.8800471000140533	0.8656943739624694	-0.014352726051583886	65.69437396246936	5.515214214790612	67.02576593961562
1	main	9	1	1	0.9005919069750234	1	0.912002159981057	0.9001099169254303	-0.01189224305562675	100.10991692543026	6.018726789150387	100.5919069750234
1	main	10	0	0	NaN	0.5750000000000001	0.912002159981057	0.9001099169254303	-0.01189224305562675	100.10991692543026	1.1350000000000016	100.5919069750234
1	main	11	0	0	NaN	0.6000000000000001	0.912002159981057	0.9001099169254303	-0.01189224305562675	100.10991692543026	1.5100000000000016	100.5919069750234
1	main	12	1	1	0.8834060910157859	1	0.896032566903159	0.8785710890078917	-0.017461477895267308	78.57108900789167	5.7609834255324675	83.40609101578589
1	main	13	0	0	NaN	0.625	0.896032566903159	0.8785710890078917	-0.017461477895267308	78.57108900789167	1.8849999999999998	83.40609101578589
1	main	14	1	1	0.9834535400150344	1	0.9840269479900599	0.9709655860206112	-0.013061361969448626	170.96558602061117	7.261712725847028	183.45354001503432
1	main	15	1	1	0.9499164590379223	1	0.9519998750183731	0.9334810280706733	-0.018518846947699785	133.4810280706733	6.7586473312601445	149.91645903792227
1	main	16	0	1	0.8502331400522962	0.65	0.8560028320644051	0.8435962040675804	-0.012406627996824682	133.4810280706733	2.26	149.91645903792227
1	main	17	1	1	0.8669871099991724	1	0.8800205580191687	0.8610796800348908	-0.018940877984277904	61.07968003489073	5.514697810974903	66.98710999917235
1	main	18	1	1	0.9839512219186872	1	1.0000035170232877	0.9776252729352564	-0.02237824408803135	177.6252729352563	7.269113364852965	183.95122191868717
1	main	19	1	1	0.9171891460428014	1	0.935982636990957	0.906286726007238	-0.02969591098371893	106.28672600723799	6.267729940698482	117.1891460428014
1	main	20	1	1	0.9001516590360552	1	0.9120053129736334	0.8880189609481022	-0.023986352025531232	88.01896094810213	6.01218512408901	100.15165903605516
1	main	21	1	1	0.8509475030004978	1	0.8719974110135809	0.8445397729519755	-0.027457638061605394	44.53977295197542	5.273948139618151	50.947503000497775
1	main	22	0	1	0.8336689589777961	0.625	0.8400113369571045	0.8260607050033286	-0.013950631953775883	44.53977295197542	1.8849999999999998	50.947503000497775
1	main	23	1	1	0.8508815589593723	1	0.8480108010116965	0.8358822310110554	-0.012128570000641048	35.88223101105537	5.273023989391513	50.8815589593723
1	main	24	1	1	0.9333961410447955	1	0.9440380369778723	0.9235248640179634	-0.020513172959908843	123.52486401796337	6.510825071125291	133.39614104479546
1	main	25	1	1	0.8501328669954091	1	0.8719913529930636	0.8443836059886962	-0.02760774700436741	44.383605988696175	5.261899899449199	50.13286699540909
1	main	26	1	1	0.8503828849643469	1	0.8560140859335661	0.8351759678917006	-0.020838118041865528	35.17596789170052	5.265630878382362	50.38288496434684
1	main	27	1	1	0.8007240160368383	1	0.8160252330126241	0.7970499179791659	-0.018975315033458173	2.9500820208341327	4.520744065628387	0.7240160368382487
1	main	28	1	1	0.8335395449539647	1	0.8480624119983986	0.8324141260236502	-0.015648285974748433	32.41412602365013	5.012977449912578	33.53954495396461
